"CODE","NAME_KZ","NAME_RU"
"111101","Тауарлар мен қызметтер шотындағы жалпы шығарылым","Валовой выпуск в счете товаров и услуг"
"111102","Тауарлар мен қызметтер шотындағы өнімге және импортқа салынатын салықтар","Налоги на продукты и импорт в счете товаров и услуг"
"111103","Тауарлар мен қызметтер шотындағы тауарлар мен қызметтер импорты","Импорт товаров и услуг в счете товаров и услуг"
"11110301","тауарлар мен қызметтер шотындағы тауарлар импорты","импорт товаров в счете товаров и услуг"
"11110302","тауарлар мен қызметтер шотындағы қызметтер импорты","импорт услуг в счете товаров и услуг"
"111104","Тауарлар мен қызметтер шотындағы аралық тұтыну","Промежуточное потребление в счете товаров и услуг"
"111105","Тауарлар мен қызметтер шотындағы түпкілікті тұтынуға жұмсалған шығыстар","Расходы на конечное потребление в счете товаров и услуг"
"11110501","тауарлар мен қызметтер шотындағы жеке тұтынуға жұмсалған шығыстар","расходы на индивидуальное потребление в счете товаров и услуг"
"11110502","тауарлар мен қызметтер шотындағы ұжымдық тұтынуға жұмсалған шығыстар","расходы на коллективное потребление в счете товаров и услуг"
"111106","Жалпы қорланым","Валовое накопление"
"11110601","тауарлар мен қызметтер шотындағы негізгі капиталдың жалпы қорланымы","валовое накопление основного капитала в счете товаров и услуг"
"11110602","тауарлар мен қызметтер шотындағы материалдық айналым құралдары қорларының өзгеруі","изменение запасов материальных оборотных средств в счете товаров и услуг"
"111107","Тауарлар мен қызметтер шотындағы тауарлар мен қызметтер экспорты","Экспорт товаров и услуг в счете товаров и услуг"
"11110701","тауарлар мен қызметтер шотындағы тауарлар экспорты","экспорт товаров в счете товаров и услуг"
"11110702","тауарлар мен қызметтер шотындағы қызметтер экспорты","экспорт услуг в счете товаров и услуг"
"111108","Таза экспорт","Чистый экспорт"
"111201","Өндіріс шотындағы жалпы шығарылым","Валовой выпуск в счете производства"
"11120102","қысқа мерзімді экономикалық индикатор ","краткосрочный экономический индикатор"
"111201021","қысқа мерзімді экономикалық индикатор индексі","индекс краткосрочного экономического индикатора"
"111202","Өндіріс шотындағы аралық тұтыну","Промежуточное потребление в счете производства"
"111203","Өндіріс шотындағы жалпы қосылған құн","Валовая добавленная стоимость в счете производства"
"11120301","өндіріс шотындағы жалпы қосылған құнның нақты көлем индексі","индекс физического объема валовой добавленной стоимости в счете производства "
"11120302","өндіріс шотындағы жалпы қосылған құнның дефляторы","дефлятор валовой добавленной стоимости в счете производства"
"111204","Өндіріс шотындағы өнімдерге салынған таза салықтар","Чистые налоги на продукты в счете производства "
"11120401","өндіріс шотындағы өнімдерге салынған таза салықтардың нақты көлем индексі","индекс физического объема чистых налогов на продукты в счете производства"
"11120402","өндіріс шотындағы өнімдерге салынған таза салықтардың дефляторы","дефлятор чистых налогов на продукты в счете производства "
"11120403","өндіріс шотындағы өнімдерге салынған таза салықтардың жалпы ішкі өнімдегі үлесі","доля чистых налогов на продукты в валовом внутреннем продукте в счете производства"
"111205","Өндіріс шотындағы өнімге салынған салықтар","Налоги на продукты в счете производства"
"11120501","өндіріс шотындағы өнімге салынған салықтардың нақты көлем индексі","индекс физического объема налогов на продукты в счете производства"
"11120502","өндіріс шотындағы өнімге салынған салықтардың дефляторы","дефлятор налогов на продукты в счете производства"
"11120504","өндіріс шотындағы өнімге салынған салықтардың жалпы ішкі өнімдегі үлесі","доля налогов на продукты в валовом внутреннем продукте в счете производства"
"111206","Өндіріс шотындағы өнімге жәрдемақылар","Субсидии на продукты в счете производства"
"111206","Өнімге және импортқа жәрдемақылар","Субсидии на продукты и импорт"
"11120601","өндіріс шотындағы өнімге жәрдемақылардың нақты көлем индексі","индекс физического объема субсидии на продукты в счете производства"
"11120601","өнімге және импортқа жәрдемақылардың нақты көлем индексі","индекс физического объема субсидии на продукты и импорт"
"11120602","өндіріс шотындағы өнімге жәрдемақылардың дефляторы","дефлятор субсидии на продукты в счете производства"
"11120602","өнімге және импортқа жәрдемақылардың дефляторы","дефлятор субсидии на продукты и импорт"
"11120603","өндіріс шотындағы өнімге жәрдемақылардың жалпы ішкі өнімдегі үлесі","доля субсидий на продукты в валовом внутреннем продукте в счете производства"
"111207","Өндіріс  шотындағы қаржылық делдалдықтың жанама өлшенетін қызметтері","Косвенно-измеряемые услуги финансового посредничества в счете производства"
"11120701","өндіріс шотындағы қаржылық делдалдықтың жанама өлшенетін қызметтерінің нақты көлем индексі","индекс физического объема косвенно-измеряемых услуг финансового посредничества в счете производства"
"11120702","өндіріс шотындағы қаржылық делдалдықтың жанама өлшенетін қызметтерінің дефляторы","дефлятор косвенно-измеряемых услуг финансового посредничества в счете производства"
"111208","Өндіріс әдісі бойынша жалпы ішкі өнім","Валовой внутренний продукт методом производства"
"11120801","өндіріс әдісі бойынша жалпы ішкі өнімнің нақты көлем индексі","индекс физического объема валового внутреннего продукта методом производства"
"11120802","өндіріс әдісі бойынша жалпы ішкі өнімнің дефляторы","дефлятор валового внутреннего продукта методом производства"
"111209","Халықтың жан басына шаққандағы өндіріс әдісімен жалпы ішкі өнім","Валовой внутренний продукт методом производства на душу населения"
"11120902","халықтың жан басына шаққандағы өндіріс әдісімен жалпы ішкі өнім АҚШ долларында","валовой внутренний продукт методом производства на душу населения в долларах США"
"111210","Қызмет түрлерінің жалпы ішкі өнімдегі үлесі","Доля вида деятельности в валовом внутреннем продукте"
"111211","Өңірлердің жалпы ішкі өнімдегі үлес салмағы","Удельный вес регионов в валовом внутреннем продукте"
"111212","Өңдеу өнеркәсібіндегі еңбек өнімділігі","Производительность труда в обрабатывающей промышленности"
"111213","Агроөнеркəсіптік кешендегі еңбек өнімділігі","Производительность труда в агропромышленном комплексе"
"111213","Ауыл шаруашылығының еңбек өнімділігі","Производительность труда в сельском хозяйстве"
"111214","Ғарыш қызметіңдегі жалпы қосылған құны","Валовая добавленная стоимость в космической деятельности"
"111216","Еңбек өнімділігі","Производительность труда "
"11121601","еңбек өнімділігінің индекстері","индекс производительности труда"
"111217","Таза қосылған құн","Чистая добавленная стоимость"
"111218","Бақыланбайтын экономиканың жалпы ішкі өнімдегі үлесі","Доля ненаблюдаемой экономики в валовом внутреннем продукте"
"111301","Табыстарды құру шотындағы еңбекақы төлеу","Оплата труда в счете образования доходов"
"11130101","табыстарды құру шотындағы жалақы","заработная плата в счете образования доходов"
"11130102","табыстарды құру шотындағы әлеуметтік сақтандыруға аударымдар","отчисления на социальное страхование в счете образования доходов"
"111301021","табыстарды құру шотындағы әлеуметтік сақтандыруға жұмыс берушілердің нақты аударымдары","фактические отчисления работодателей на социальное страхование в счете образования доходов"
"111301022","табыстарды құру шотындағы әлеуметтік сақтандыруға жұмыс берушілердің шартты-есептелген аударымдары","условно-исчисленные отчисления работодателей на социальное страхование в счете образования доходов"
"111302","Табыстарды құру шотындағы жалпы пайда/жалпы аралас табыс","Валовая прибыль / валовой смешанный доход в счете образования доходов"
"111303","Табыстарды құру шотындағы негізгі капиталды тұтыну","Потребление основного капитала в счете образования доходов"
"111304","Табыстарды құру шотындағы таза пайда/таза аралас табыс","Чистая прибыль / чистый смешанный доход в счете образования доходов"
"111305","Өнімге және импортқа салынатын салықтар","Налоги на производство и импорт"
"111306","Өндіріс пен импортқа берілетін субсидиялар","Субсидии на производство и импорт"
"111307","Табыстар әдісімен жалпы ішкі өнім","Валовой внутренний продукт методом доходов"
"111308","Өндіріс және импортқа салынатын таза салықтар","Чистые налоги на производство и импорт"
